SHA-256(Certificate)	CA Name
001686CD181F83A1B1217D305B365C41E3470A78A1D37B134A98CD547B92DAB3	C=US, O=Network Solutions L.L.C., CN=Network Solutions Certificate Authority
007E452FD5CF838946696DFE37A2DB2EF3991436D27BCBAB45922053C15A87A8	C=SI, O=POSTA, OU=POSTArCA
00AB444ABD6BDBA33DA8DE569AC4ECDE326D1BE1A61442D5EEC3975A0C243F04	C=ES, O=Agencia Notarial de Certificacion S.L. Unipersonal - CIF B83395988, CN=ANCERT Certificados Notariales
02ED0EB28C14DA45165C566791700D6451D7FB56F0B2AB1D3B8EB070E56EDFF5	C=US, O=Entrust, Inc., OU=See www.entrust.net/legal-terms, OU=(c) 2012 Entrust, Inc. - for authorized use only, CN=Entrust Root Certification Authority - EC1
0376AB1D54C5F9803CE4B2E201A0EE7EEF7B57B636E8A93C9B8D4860C96F5FA7	C=US, O=AffirmTrust, CN=AffirmTrust Commercial
03950FB49A531F3E1991942398DFA9E0EA32D7BA1CDD9BC85DB57ED9400B434A	CN=ACEDICOM Root, OU=PKI, O=EDICOM, C=ES
04048028BF1F2864D48F9AD4D83294366A828856553F3B14303F90147F5D40EF	C=ES, CN=Autoridad de Certificacion Firmaprofesional CIF A62634068
04ACFB3B24793F300F67EF87E44DD72CB9B28B204F389A7CD5AE28785C7D42CD	C=us, O=U.S. Government, OU=FBCA, CN=Common Policy
04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51	C=ES, ST=MADRID, L=MADRID, OU=see current address at www.camerfirma.com/address, OU=CHAMBERS OF COMMERCE ROOT - 2016, serialNumber=A82743287, 2.5.4.97=VATES-A82743287, O=AC CAMERFIRMA S.A., CN=CHAMBERS OF COMMERCE ROOT - 2016
0536801FBB443B3E905FD6D70D8C81EB88551BE8061299110D2B4F82E64CADE1	C=LT, O=VI Registru Centras - I.k. 124110246, OU=Registru Centro Sertifikavimo Centras, CN=VI Registru Centras RCSC (RootCA)
058A40323EC8C46262C3052A5D357B91AC24D3DA26351B3FF4407E99F7A4E9B4	C=BE, O=Certipost s.a./n.v., CN=Certipost E-Trust Primary Qualified CA
05D38C2A70BFC500CCB0CB509159B46B065C6AC9CB42D2E6F16167841434572A	C=DE, O=DATEV eG, CN=CA DATEV STD 02
063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0	C=EU, L=Madrid (see current address at www.camerfirma.com/address), serialNumber=A82743287, O=AC Camerfirma S.A., CN=Chambers of Commerce Root - 2008
0687260331A72403D909F105E69BCF0D32E1BD2493FFC6D9206D11BCD6770739	O=Digital Signature Trust Co., CN=DST Root CA X3
06DB3AF2DB7BAEE00C03B9578288BBDE541D906EB0069327413295FFB486008E	C=JP, O=LGPKI, OU=Application CA G2
0753E940378C1BD5E3836E395DAEA5CB839E5046F1BD0EAE1951CF10FEC7C965	C=PA, ST=Panama, L=Panama City, O=TrustCor Systems S. de R.L., OU=TrustCor Certificate Authority, CN=TrustCor RootCert CA-2
075BFCCA2D55AE6E35742C32AFD0CA8EA4C958FEEFC23224999541C033D69C8D	C=IL, O=PersonalID Ltd., OU=Certificate Services, CN=PersonalID Trustworthy RootCA 2011
0771920C8CB874D5C5A4DC0D6A51A2D495D38C4DE2CD5B83D2A06FAA051935F6	C=CN, O=CFCA GT CA
0791CA0749B20782AAD3C7D7BD0CDFC9485835843EB2D7996009CE43AB6C6927	C=SE, O=AddTrust AB, OU=AddTrust TTP Network, CN=AddTrust Public CA Root
08297A4047DBA23680C731DB6E317653CA7848E1BEBD3A0B0179A707F92CF178	C=US, O=Equifax, OU=Equifax Secure Certificate Authority
0A81EC5A929777F145904AF38D5D509F66B5E2C58FCDB531058B0E17F3F0B41B	C=US, O=AffirmTrust, CN=AffirmTrust Networking
0B9F26DFCA684C2CFCE23E4E4DD567C886BA259E1DB267F9806F0C5A099711F2	C=LT, O=Skaitmeninio sertifikavimo centras, OU=Certification Authority, CN=SSC Root CA B
0C0B6B2BD1EDD7B27FEAD157F8E846B335B784A39F06C47216C8746F64C5CEDA	C=DE, O=DATEV eG, CN=CA DATEV BT 03
0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3	C=EU, O=AC Camerfirma SA CIF A82743287, OU=http://www.chambersign.org, CN=Chambers of Commerce Root
0C2CD63DF7806FA399EDE809116B575BF87989F06518F9808C860503178BAF66	C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO Certification Authority
0D83B611B648A1A75EB8558400795375CAD92E264ED8E9D7A757C1F5EE2BB22D	C=US, O=Apple Computer, Inc., OU=Apple Computer Certificate Authority, CN=Apple Root Certificate Authority
0E88EB6EA256E19EF8D3ABD61A24D38DBAD632816DD957294427E4724D81A386	CN=Autoridad de Certificacion Raiz del Estado Venezolano, C=VE, L=Caracas, ST=Distrito Capital, O=Sistema Nacional de Certificacion Electronica, OU=Superintendencia de Servicios de Certificacion Electronica, emailAddress=acraiz@suscerte.gob.ve
0ED3FFAB6C149C8B4E71058E8668D429ABFDA681C2FFF508207641F0D751A3E5	CN=Autoridad de Certificacion Raiz del Estado Venezolano, C=VE, L=Caracas, ST=Distrito Capital, O=Sistema Nacional de Certificacion Electronica, OU=Superintendencia de Servicios de Certificacion Electronica, emailAddress=acraiz@suscerte.gob.ve
0F4E9CDD264B025550D170806340214FE94434C9B02F697EC710FC5FEAFB5E38	C=NO, O=Buypass AS-983163327, CN=Buypass Class 2 CA 1
0F993C8AEF97BAAF5687140ED59AD1821BB4AFACF0AA9A58B5D57A338A3AFBCB	C=FR, O=Certplus, CN=Class 2 Primary CA
126BF01C1094D2F0CA2E352380B3C724294546CCC65597BEF7F12D8A171F1984	C=JP, O=Japanese Government, OU=GPKI, CN=ApplicationCA2 Root
12D480C1A3C664781B99D9DF0E9FAF3F1CACEE1B3C30C3123A337A4A454FFED2	C=si, O=state-institutions, OU=sigen-ca
12FF248372BD87E44ECE432198BE9B04525F33DEE00356FD646F8ACC01412F86	C=CA, O=Carillon Information Security Inc., OU=Certification Authorities, CN=CISRCA1
136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA	C=EU, L=Madrid (see current address at www.camerfirma.com/address), serialNumber=A82743287, O=AC Camerfirma S.A., CN=Global Chambersign Root - 2008
1465FA205397B876FAA6F0A9958E5590E40FCC7FAA4FB7C2C8677521FB5FB658	C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority
1501F89C5C4DCF36CF588A17C9FD7CFCEB9EE01E8729BE355E25DE80EB6284B4	CN=CAEDICOM Root, O=EDICOM, C=ES
152A402BFCDF2CD548054D2275B39C7FCA3EC0978078B0F0EA76E561A6C7433E	C=FR, O=Certplus, CN=Certplus Root CA G1
15D5B8774619EA7D54CE1CA6D0B0C403E037A917F131E8A04E1E6B7A71BABCE5	C=US, O=Google Trust Services LLC, CN=GTS Root R3
15F0BA00A3AC7AF3AC884C072B1011A077BD77C097F40164B2F8598ABD83860C	C=US, O=Network Solutions L.L.C., CN=Network Solutions Certificate Authority
16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB	C=IE, O=Baltimore, OU=CyberTrust, CN=Baltimore CyberTrust Root
1793927A0614549789ADCE2F8F34F7F0B66D0F3AE3A3B84D21EC15DBBA4FADC7	C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Certification Authority
179FBC148A3DD00FD24EA13458CC43BFA7F59C8182D783A513F6EBEC100C8924	OU=GlobalSign ECC Root CA - R5, O=GlobalSign, CN=GlobalSign
18CE6CFE7BF14E60B2E347B8DFE868CB31D02EBB3ADA271569F50343B46DB3A4	C=US, O=Amazon, CN=Amazon Root CA 3
