SHA-256(Certificate)	CA Name
018E13F0772532CF809BD1B17281867283FC48C6E13BE9C69812854A490C1B05	C=US, O=DigiCert, Inc., CN=DigiCert TLS ECC P384 Root G5
02ED0EB28C14DA45165C566791700D6451D7FB56F0B2AB1D3B8EB070E56EDFF5	C=US, O=Entrust, Inc., OU=See www.entrust.net/legal-terms, OU=(c) 2012 Entrust, Inc. - for authorized use only, CN=Entrust Root Certification Authority - EC1
0376AB1D54C5F9803CE4B2E201A0EE7EEF7B57B636E8A93C9B8D4860C96F5FA7	C=US, O=AffirmTrust, CN=AffirmTrust Commercial
04048028BF1F2864D48F9AD4D83294366A828856553F3B14303F90147F5D40EF	C=ES, CN=Autoridad de Certificacion Firmaprofesional CIF A62634068
0552E6F83FDF65E8FA9670E666DF28A4E21340B510CBE52566F97C4FB94B2BD1	C=DE, O=D-Trust GmbH, CN=D-TRUST BR Root CA 2 2023
06C08D7DAFD876971EB1124FE67F847EC0C7A158D3EA53CBE940E2EA9791F4C3	C=CN, O=TrustAsia Technologies, Inc., CN=TrustAsia TLS RSA Root CA
07CD9AA9064A9B94C6AEF8FB784C1BBC1BEDA08ACBE86878D781A39167626CF8	C=US, O=VISA, OU=Visa International Service Association, CN=Visa Public RSA Root CA
08170D1AA36453901A2F959245E347DB0C8D37ABAABC56B81AA100DC958970DB	C=DE, O=D-Trust GmbH, CN=D-TRUST EV Root CA 1 2020
0A81EC5A929777F145904AF38D5D509F66B5E2C58FCDB531058B0E17F3F0B41B	C=US, O=AffirmTrust, CN=AffirmTrust Networking
0C2CD63DF7806FA399EDE809116B575BF87989F06518F9808C860503178BAF66	C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO Certification Authority
125609AA301DA0A249B97A8239CB6A34216F44DCAC9F3954B14292F2E8C8608F	C=US, OU=emSign PKI, O=eMudhra Inc, CN=emSign Root CA - C1
1435F225C5D252D7A21948CC3CE62AECFA88001E3DD72D1CC3555100EB372F93	C=JP, O=SECOM Trust Systems Co., Ltd., CN=SECOM TLS RSA Root CA 2024
1465FA205397B876FAA6F0A9958E5590E40FCC7FAA4FB7C2C8677521FB5FB658	C=US, O=Starfield Technologies, Inc., OU=Starfield Class 2 Certification Authority
1501F89C5C4DCF36CF588A17C9FD7CFCEB9EE01E8729BE355E25DE80EB6284B4	CN=CAEDICOM Root, O=EDICOM, C=ES
152A402BFCDF2CD548054D2275B39C7FCA3EC0978078B0F0EA76E561A6C7433E	C=FR, O=Certplus, CN=Certplus Root CA G1
15D5B8774619EA7D54CE1CA6D0B0C403E037A917F131E8A04E1E6B7A71BABCE5	C=US, O=Google Trust Services LLC, CN=GTS Root R3
16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB	C=IE, O=Baltimore, OU=CyberTrust, CN=Baltimore CyberTrust Root
1793927A0614549789ADCE2F8F34F7F0B66D0F3AE3A3B84D21EC15DBBA4FADC7	C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Certification Authority
179FBC148A3DD00FD24EA13458CC43BFA7F59C8182D783A513F6EBEC100C8924	OU=GlobalSign ECC Root CA - R5, O=GlobalSign, CN=GlobalSign
18CE6CFE7BF14E60B2E347B8DFE868CB31D02EBB3ADA271569F50343B46DB3A4	C=US, O=Amazon, CN=Amazon Root CA 3
18F1FC7F205DF8ADDDEB7FE007DD57E3AF375A9C4D8D73546BF4F1FED1E18D35	C=BM, O=QuoVadis Limited, CN=QuoVadis Root CA 3
193144F431E0FDDB740717D4DE926A571133884B4360D30E272913CBE660CE41	C=CH, O=SwissSign AG, CN=SwissSign RSA TLS Root CA 2022 - 1
1A0D20445DE5BA1862D19EF880858CBCE50102B36E8F0A040C3C69E74522FE6E	C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO Certification Authority
1BA5B2AA8C65401A82960118F80BEC4F62304D83CEC4713A19C39C011EA46DB4	C=US, O=Amazon, CN=Amazon Root CA 2
1BE7ABE30686B16348AFD1C61B6866A0EA7F4821E67D5E8AF937CF8011BC750D	C=GR, O=Hellenic Academic and Research Institutions CA, CN=HARICA Client RSA Root CA 2021
1CF341AE35341AC3AE1DC68D5B10DC0C9DC1307656F75FD92CA2C68489D52E9A	C=KR, O=Ministry of the Interior and Safety, CN=MOIS SSL Root CA
1E51942B84FD467BF77D1C89DA241C04254DC8F3EF4C22451FE7A89978BDCD4F	C=TW, O=Chunghwa Telecom Co., Ltd., CN=ePKI Root Certification Authority - G2
209E956AF04DF3996507C887D356230D6EB49FDBDD2D8A058FF50B8F80F690AA	C=AU, O=GOV, OU=DoD, OU=PKI, OU=CAs, CN=Australian Defence Public Root CA
22A2C1F7BDED704CC1E701B5F408C310880FE956B5DE2A4A44F99C873A25A7C8	C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com EV Root Certification Authority ECC
242B69742FCB1E5B2ABF98898B94572187544E5B4D9911786573621F6A74B82C	C=FI, O=Telia Finland Oyj, CN=Telia Root CA v2
