SHA-256(Certificate)	CA Name
047B5DFCE3CEBC38D92AA487F0B01F0F91B521150859660BAE0E3F60DEA37DD5	CN=Starlink ECP384 Root CA
04F61F1D13AAE1D16573DC2C37F796FDF4AC97713A6959EBB11D2473958B1A53	C=US, ST=California, L=San Jose, O=Zscaler Inc., OU=Zscaler Inc., CN=Zscaler Root CA, emailAddress=support@zscaler.com
07EDBD824A4988CFEF4215DA20D48C2B41D71529D7C900F570926F277CC230C5	O=Root CA, OU=http://www.cacert.org, CN=CA Cert Signing Authority, emailAddress=support@cacert.org
098743CC7B6DC2A548A84CFD80AA542DFE5897376E00D074338BC2EE20D5246E	C=GB, ST=London, L=London, O=Google, OU=Eng, CN=FakeCertificateAuthority
09FFE93B48EBCEA6E89AE5B728438AFD29F817386E70158834FFDB1DB4E2E3A4	C=QA, O=ictQATAR, OU=CSPs-PMA, CN=Qatar National Root CA DEV
0A9E10394083B6254A52303CAFE07C2D87B80706B9C80802C2F93C52FFFA223F	C=FR, O=CERTINOMIS, OU=0002 433998903, CN=TEST - Certinomis Root CA
0B030B70D6C4D2C39B5FE5B47A61E275B0F63AA7C8240902A9953972DB0720F6	C=FR, ST=Nord, L=Villeneuve d'Ascq, O=NETASQ - Secure Internet Connectivity, OU=NETASQ Certification Authority
0B47979432ADA74CDD7778C330279C9AD0A09A731EC2EBD7FD5D6B67E06785AC	C=US, ST=MN, L=Minneapolis, O=Open Access Technology International Inc, CN=webCARES Demo Root CA 2022
0BC5DFBE56218401D4605BF05DC002AB82530A210A6FA66F584D1C0690245CC4	O=David Miller Trust Services, CN=David Miller Root CA - R2
0D15C8A1935223108C287E8D33F879CF78985A7126659EB96C0E2BAA9C24C34C	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted EV Root, CN=TrusAuth High Assurance EV Root CA
0D78F070E70746E8D7578B1FDB0390CE15DF7BB1F684A6C130659590F6261598	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted Root, CN=TrusAuth Hardware Security RSA Root
0E544D4CDDC88005424C6F6729BD832E8B52F7B9705874798BF24EDB6AC8EE6B	C=US, O=CableLabs, OU=Root CA01, CN=CableLabs Root Certification Authority
0FFB76C3F4F8D99CACF30700C6A6FF603D90A63F0E3F133F15FC3F2D3F1E2A40	C=FR, O=CERTIGNA, CN=Certigna Root CA VM Dev
137EF626EBA2885E87B6EEBB2AFF885F0101685AA6C791BD1580B28447C60CB0	C=PA, ST=Panama, L=Panama City, O=TrustCor Systems S. de R.L., OU=TrustCor Certificate Authority, CN=Dev TrustCor RootCert CA-2
145E6D77EFF2103C0A98D30E0A4812E793043F1C8915C02B057C789038783FFA	C=US, ST=California, L=Calabasas, O=ALE International, OU=ALE Networking Division, CN=ALE Intermediate CA
14A1A797719418C7A2E6F02C5C336974E71A4BD442BE6B9B131BC6A4E3ECD408	C=CH, O=WISeKey, OU=Development PKI, CN=OISTE WISeKey Demo Root CA 1
1627E2BEF8896BFFC9E3BDAA8AE23F36F3E611AF75BA1FD3EF5A53EC28F4835C	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted Partner Root, CN=TrusAuth Windows Platform Root CA 2023
1A8A04E7FEBAE4982DD0558A7933D5AF44AF9DC132A3F3269D1119864F7B144F	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted Root, CN=TrusAuth Root CA - G3
1D2C0F6DDEF7E3F184E29AEB5A915BA0B5E99BC25D65266F580662E78C34FA01	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted Root, CN=TrusAuth Root CA - G2
1E89663C4104FE020249E4A8961DF232A8D79C8B759999870DFA68B081FE1939	C=BR, O=ICP-Brasil, OU=SERPRO, CN=CA SERPRO Certificate Transparency Root TEST
26C5CD3E83FB8520B9AA50BAE4C8DD5E848102C77E5BE7C37BC30AAD4CF93F76	CN=SpaceX Universal Root CA - 1
297242B48BA9F40A991B137EE999B81C6EB36014AF4510E271AE852880FFDF62	C=US, ST=CA, L=Sunnyvale, O=Juniper Networks, OU=Juniper CA, CN=EngineeringEcCA, emailAddress=ca@juniper.net
2A297A2E73505F78EFE1472FE5E5607623FA4070C4A4206CD0A965701C018692	C=TR, L=Gebze -Kocaeli, O=Türkiye Bilimsel ve Teknolojik Araştırma Kurumu - TÜBİTAK, OU=BİLGEM, CN=Kamu SM Kök Sertifika Hizmet Sağlayıcısı - TEST
2CF132C1641617A853F93E043C7C80162DC20819B63D7231D0C70AB6F82DCB0B	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted EV Root, CN=TrusAuth High Assurance EV Root CA - G4
2F70716FF1C598897F5BB408201C3561C7F3791D593AD4FE74BB924DF7B6CD9E	C=ch, ST=china, L=beijing, O=bitmain, CN=antsentry
303A1A2934C193494C6F2A404523064BA398CBA0278FC76F83B5A404A9D9912A	C=US, ST=California, L=LA, O=SpaceX, OU=Starlink, CN=SpaceX Router Root CA
30EC916E35C91852340A5D893B9F74F7E9550C7E2B6A96E8360156150F669EE2	C=CN, O=David Miller Trust Services, CN=David Miller Root CA - R4
340454D302B629E4EF27F977DAD1D489618AEB6C1D9DD6C8C2ED9EBB1F7E8FE0	C=CN, O=TrusAuth Inc, OU=TrusAuth Trusted Root, CN=TrusAuth Root CA - G4
3472B0756C0391CF18AD1AE081A224E9521B7CE8AC8C0F68C310204DB5827C10	C=US, ST=CA, L=Sunnyvale, O=Juniper Networks, OU=Juniper CA, CN=PackageCA, emailAddress=ca@juniper.net
39BB3C5F83F3D31834FFC34DD93C0C178A8ADDCE6292455FA5D447E284FB397B	C=CZ, O=Monet, CN=Test Root CA 1
39E7A752FE9712BFD44010C04017847045AD98E21C1B90B4E14796D071B75725	C=US, ST=CA, L=Sunnyvale, O=Juniper Networks, OU=Juniper CA, CN=JuniperRootCA, emailAddress=ca@juniper.net
3BD107DE05DEE685E46EABD0FD6F07F5529B712F834351E935FAB192C95659A7	C=FR, ST=Nord, L=Villeneuve d'Ascq, O=NETASQ - Secure Internet Connectivity, OU=NETASQ Firewall Certification Authority
420DD646F1027BF5D976E5F34CCDA7331616B97A2C25BD3BEE47C11FAE601046	C=FR, L=Issy-Les-Moulineaux, O=Stormshield, OU=Cloud Services, CN=Stormshield Products Root CA
423B7890D5AE80A4D6FE1A6D16100BBF35DDF9231BD7B5858C6E509C9B392640	C=CN, ST=GD, L=SZ, O=COM, OU=NSP, CN=CA, emailAddress=youremail@qq.com
4245BD866A452AA7091E0D5BA66CA125DFD379CC3BE10B8B9307C88EE014D62F	C=NL, O=STMicroelectronics nv, CN=STM STSAFE-A PROD CA 48
465789B2E9C4DC030BB878626CFEF41FCD28DFA2A9ABDF9827EB92B66DC57D8D	C=US, ST=Texas, L=Houston, O=SSL Corporation, CN=SSL.com Root Certification Authority RSA - Test
468B26E0C64CE0D9CDA42726CEE3570147E5C8F352C8AA7EBDE586E852402628	C=IT, L=Ponte San Pietro, O=Actalis S.p.A., CN=Actalis Authentication Root CA Test
483AEB8E29B984BD2197CDA2624529D6A8614E8AF1832A9BAB882E666312ECDE	C=FR, L=Issy-Les-Moulineaux, O=Stormshield, OU=Stormshield Network Security, CN=Stormshield Network Security Products CA
